Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 1	Peptides 2	Peptides 3	Peptides 7	Peptides 8	Peptides 9	Razor + unique peptides 1	Razor + unique peptides 2	Razor + unique peptides 3	Razor + unique peptides 7	Razor + unique peptides 8	Razor + unique peptides 9	Unique peptides 1	Unique peptides 2	Unique peptides 3	Unique peptides 7	Unique peptides 8	Unique peptides 9	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 1	Identification type 2	Identification type 3	Identification type 7	Identification type 8	Identification type 9	Sequence coverage 1 [%]	Sequence coverage 2 [%]	Sequence coverage 3 [%]	Sequence coverage 7 [%]	Sequence coverage 8 [%]	Sequence coverage 9 [%]	Intensity	Intensity 1	Intensity 2	Intensity 3	Intensity 7	Intensity 8	Intensity 9	iBAQ	iBAQ 1	iBAQ 2	iBAQ 3	iBAQ 7	iBAQ 8	iBAQ 9	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__P00766	CON__P00766	2	2	2	>P00766 SWISS-PROT:P00766 Chymotrypsinogen A - Bos taurus (Bovine).	1	2	2	2	0	1	1	1	2	2	0	1	1	1	2	2	0	1	1	1	2	2	9.8	9.8	9.8	25.666	245	245	0	5.2685	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	0	6.1	6.1	6.1	9.8	9.8	26427	0	5129.5	4574.6	5385.6	5884.8	5452.1	3303.3	0	641.19	571.83	673.2	735.6	681.52	4			+	0	7369;7875	True;True	7882;8417	39912;39913;39914;39915;39916;42588;42589	44033;44034;46862;46863	44033;46862		
CON__P02533;CON__Q04695;CON__Q6IFX2;CON__Q9QWL7;CON__Q61782	CON__P02533	13;6;6;5;1	5;2;1;2;1	5;2;1;2;1	>P02533 SWISS-PROT:P02533 Tax_Id=9606 Gene_Symbol=KRT14 Keratin, type I cytoskeletal 14	5	13	5	5	9	11	8	12	12	11	4	5	4	5	5	4	4	5	4	5	5	4	27.3	13.1	13.1	51.621	472	472;432;452;433;93	0	38.146	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	21.2	23.7	19.1	25.4	25.4	24.2	239970	38403	43394	27566	48393	44705	37512	7058	1129.5	1276.3	810.75	1423.3	1314.9	1103.3	20			+	1	603;796;867;1129;2272;3634;3640;3660;4022;4110;6423;7080;7407	False;True;False;True;True;True;False;True;False;False;False;False;False	637;853;927;1207;2429;3879;3886;3906;4291;4385;6880;7567;7920;7921	3146;3147;3148;3149;3150;3151;4216;4217;4218;4219;4220;4221;4589;4590;4591;6099;6100;6101;6102;6103;6104;12247;12248;12249;12250;12251;12252;19605;19606;19607;19636;19637;19638;19639;19640;19744;19745;19746;19747;19748;19749;21913;21914;21915;21916;21917;22394;22395;22396;22397;22398;22399;34802;34803;34804;38326;38327;40129;40130;40131;40132;40133;40134;40135;40136;40137;40138	3343;3344;3345;3346;3347;3348;3349;4511;4512;4513;4900;4901;4902;6751;6752;6753;6754;6755;6756;13515;13516;13517;13518;13519;13520;21898;21923;21924;22076;22077;22078;22079;24377;24378;24379;24929;24930;24931;24932;24933;24934;24935;24936;24937;24938;38217;38218;42175;42176;42177;44268;44269;44270;44271;44272;44273;44274;44275;44276;44277;44278;44279;44280;44281;44282	3347;4513;4902;6753;13518;21898;21924;22079;24377;24936;38218;42175;44273	0	119
CON__P48668;CON__P04259;CON__Q8VED5;CON__P05787;CON__O95678;CON__H-INV:HIT000016045;CON__H-INV:HIT000292931;CON__Q9DCV7;CON__Q3KNV1;CON__P08729;CON__Q9H552;CON__Q14CN4-1;CON__Q6IME9;CON__P07744;CON__P19013;CON__Q9NSB2;CON__Q6ISB0;CON__O43790;CON__Q6NT21;CON__P78385;CON__Q14533;CON__Q8N1N4-2;CON__Q7RTT2;CON__Q3SY84;CON__Q7RTS7;CON__Q32MB2	CON__P48668;CON__P04259;CON__Q8VED5	12;12;6;5;5;3;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1	4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	>P48668 SWISS-PROT:P48668 Tax_Id=9606 Gene_Symbol=KRT6C Keratin, type II cytoskeletal 6C;>P04259 SWISS-PROT:P04259 Tax_Id=9606 Gene_Symbol=KRT6B Keratin, type II cytoskeletal 6B;>Q8VED5 TREMBL:Q8VED5 Tax_Id=10090 Gene_Symbol=Krt79 Keratin 79	26	12	4	1	7	7	8	9	11	10	1	1	1	4	4	3	0	0	0	1	1	0	17.6	8	1.8	60.024	564	564;564;531;483;551;99;443;457;469;469;499;511;520;525;594;600;600;486;493;493;505;521;521;523;529;540	0	14.902	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	8.9	10.5	10.5	14.7	17.6	15.8	83851	6891.3	6080.1	6481.2	28584	20250	15564	2329.2	191.43	168.89	180.03	793.99	562.5	432.35	11			+	2	278;838;1589;2378;2525;5218;5220;5221;5229;5279;6231;7677	True;False;False;False;False;True;False;False;False;True;True;False	292;896;1701;2542;2697;5607;5609;5610;5618;5671;6674;8205	1436;1437;1438;4443;4444;4445;4446;4447;4448;8691;8692;8693;8694;12833;12834;12835;12836;12837;12838;13586;13587;28338;28339;28340;28341;28342;28343;28355;28356;28357;28358;28359;28360;28361;28362;28394;28395;28396;28397;28398;28399;28645;28646;33770;33771;33772;41575;41576;41577;41578;41579;41580;41581;41582;41583	1462;1463;1464;1465;4757;4758;4759;4760;4761;9694;9695;14219;14220;14221;14222;14223;14224;14225;14226;14227;15096;15097;31444;31445;31459;31460;31461;31462;31463;31464;31465;31466;31467;31468;31469;31512;31513;31514;31515;31516;31517;31792;31793;37072;37073;37074;45771;45772;45773;45774;45775;45776	1465;4757;9695;14225;15096;31445;31459;31464;31516;31793;37073;45772		
CON__P04264	CON__P04264	29	29	15	>P04264 SWISS-PROT:P04264 Tax_Id=9606 Gene_Symbol=KRT1 Keratin, type II cytoskeletal 1	1	29	29	15	23	27	24	19	23	23	23	27	24	19	23	23	12	15	13	12	12	12	39.6	39.6	25.9	66.017	644	644	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	29.2	37.7	32.5	32.1	31.2	33.9	9385500	1580000	1768700	1712400	1252200	1476300	1595900	268160	45143	50534	48926	35776	42179	45597	237			+	3	292;1590;1683;2526;2895;3494;4081;4168;4536;4642;4643;5220;5221;5280;5569;5819;5820;5937;5943;5957;5988;6009;6408;6471;6508;6509;7580;7677;7681	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	306;1702;1703;1802;1803;2698;3085;3731;4354;4444;4835;4944;4945;5609;5610;5672;5673;5674;5975;6240;6241;6360;6366;6381;6414;6435;6863;6929;6968;6969;8104;8205;8209	1495;1496;1497;1498;1499;1500;8695;8696;8697;8698;8699;8700;9185;9186;9187;9188;9189;9190;9191;9192;9193;9194;9195;9196;9197;9198;9199;13588;13589;13590;13591;13592;13593;15513;15514;15515;15516;15517;18833;18834;18835;18836;18837;18838;22235;22236;22237;22680;22681;24610;24611;24612;24613;24614;24615;25140;25141;25142;25143;25144;25145;25146;25147;25148;25149;28355;28356;28357;28358;28359;28360;28361;28362;28647;28648;28649;28650;28651;28652;28653;28654;28655;28656;28657;28658;28659;28660;28661;28662;28663;28664;28665;28666;28667;28668;28669;28670;28671;28672;28673;28674;28675;28676;28677;28678;28679;30197;30198;30199;30200;30201;30202;31579;31580;31581;31582;31583;31584;31585;31586;31587;31588;31589;32210;32211;32212;32213;32242;32243;32244;32245;32246;32247;32292;32293;32294;32295;32296;32297;32298;32454;32553;32554;32555;34712;34713;34714;34715;34716;35051;35052;35053;35054;35055;35056;35237;35238;35239;35240;35241;35242;35243;35244;35245;35246;35247;35248;35249;35250;35251;35252;35253;41065;41066;41067;41068;41069;41575;41576;41577;41578;41579;41580;41581;41582;41583;41597;41598;41599;41600;41601;41602	1518;1519;1520;1521;1522;1523;1524;1525;9696;9697;9698;9699;9700;10191;10192;10193;10194;10195;10196;10197;10198;10199;10200;10201;10202;10203;10204;10205;10206;15098;15099;15100;15101;15102;15103;15104;15105;15106;15107;15108;15109;15110;17309;17310;17311;17312;17313;21069;21070;21071;21072;21073;21074;21075;21076;21077;21078;21079;24756;24757;24758;25254;25255;27455;27456;27457;27458;27459;27460;27461;27462;27463;27464;27465;27466;27986;27987;27988;27989;27990;27991;27992;31459;31460;31461;31462;31463;31464;31465;31466;31467;31468;31469;31794;31795;31796;31797;31798;31799;31800;31801;31802;31803;31804;31805;31806;31807;31808;31809;31810;31811;31812;31813;31814;31815;31816;31817;31818;31819;31820;31821;31822;31823;31824;31825;33348;33349;33350;33351;33352;33353;34614;34615;34616;34617;34618;34619;35304;35305;35338;35339;35340;35341;35342;35343;35344;35345;35346;35347;35348;35349;35393;35394;35395;35396;35397;35398;35399;35400;35401;35402;35403;35404;35405;35406;35407;35569;35570;35679;35680;35681;35682;35683;38120;38121;38122;38123;38124;38125;38523;38524;38525;38526;38527;38528;38529;38530;38725;38726;38727;38728;38729;38730;38731;38732;38733;38734;38735;38736;38737;38738;38739;38740;38741;38742;38743;38744;38745;38746;38747;45243;45244;45245;45246;45247;45248;45249;45250;45251;45252;45771;45772;45773;45774;45775;45776;45797;45798;45799;45800;45801;45802;45803;45804;45805;45806;45807;45808;45809	1521;9696;10204;15103;17312;21070;24756;25254;27462;27988;27990;31459;31464;31817;33349;34615;34619;35305;35344;35393;35569;35681;38124;38530;38732;38737;45248;45772;45807	1;2;3;4	259;262;296;469
CON__P07477	CON__P07477	1	1	1	>P07477 SWISS-PROT:P07477 Tax_Id=9606 Gene_Symbol=PRSS1 Trypsin-1 precursor	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	26.558	247	247	0	28.719	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	4	4	4	4	4	4	1814000	290300	299770	300460	305620	312630	305230	151170	24192	24980	25039	25469	26053	25436	25			+	4	6478	True	6936;6937	35088;35089;35090;35091;35092;35093;35094;35095;35096;35097;35098;35099	38577;38578;38579;38580;38581;38582;38583;38584;38585;38586;38587;38588;38589;38590;38591;38592;38593;38594;38595;38596;38597;38598;38599;38600;38601	38585	5	109
CON__P08779;CON__Q9Z2K1;CON__Q3ZAW8;CON__P08727;CON__P19001;CON__P19012;CON__A2A4G1	CON__P08779	13;5;5;4;4;4;4	10;3;3;2;2;2;1	5;1;1;1;0;0;0	>P08779 SWISS-PROT:P08779 Tax_Id=9606 Gene_Symbol=KRT16 Keratin, type I cytoskeletal 16	7	13	10	5	9	10	8	12	12	12	6	7	6	9	9	9	4	4	4	5	5	5	28.1	23.3	14	51.267	473	473;469;474;400;403;456;456	0	106.27	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	20.3	22.6	18.8	26.2	26.2	26.2	523350	56666	82386	74531	104800	96721	108250	15859	1717.2	2496.5	2258.5	3175.7	2930.9	3280.2	37			+	5	603;795;867;1515;2270;3582;3640;4022;4110;6301;6423;7080;7407	True;True;True;True;True;True;True;False;False;True;True;True;False	637;852;927;1623;2427;3824;3886;4291;4385;6750;6880;7567;7920;7921	3146;3147;3148;3149;3150;3151;4211;4212;4213;4214;4215;4589;4590;4591;8247;8248;8249;8250;8251;12235;12236;12237;12238;12239;12240;19308;19309;19310;19311;19312;19313;19636;19637;19638;19639;19640;21913;21914;21915;21916;21917;22394;22395;22396;22397;22398;22399;34140;34141;34142;34143;34144;34802;34803;34804;38326;38327;40129;40130;40131;40132;40133;40134;40135;40136;40137;40138	3343;3344;3345;3346;3347;3348;3349;4508;4509;4510;4900;4901;4902;9142;9143;13504;13505;13506;13507;13508;13509;21606;21607;21608;21609;21610;21611;21923;21924;24377;24378;24379;24929;24930;24931;24932;24933;24934;24935;24936;24937;24938;37466;37467;37468;38217;38218;42175;42176;42177;44268;44269;44270;44271;44272;44273;44274;44275;44276;44277;44278;44279;44280;44281;44282	3347;4510;4902;9143;13508;21610;21924;24377;24936;37467;38218;42175;44273	0	121
CON__P13645;CON__P02535-1;CON__P08730-1;CON__Q148H6;CON__Q7Z3Y7;CON__P05784;CON__Q7Z3Z0;CON__Q7Z3Y8;CON__Q14525;CON__Q9UE12;CON__Q15323;CON__A2A5Y0;CON__Q92764;CON__Q14532;CON__A2AB72;CON__Q497I4;CON__O76015;CON__Q7Z3Y9;CON__O76014;CON__REFSEQ:XP_986630;CON__Q2M2I5	CON__P13645	19;6;3;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1	18;6;2;3;3;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1	15;3;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0	>P13645 SWISS-PROT:P13645 Tax_Id=9606 Gene_Symbol=KRT10 Keratin, type I cytoskeletal 10	21	19	18	15	18	15	15	16	18	17	17	14	14	15	17	16	14	11	12	13	15	14	35.2	34.1	29.3	59.51	593	593;570;437;464;486;423;450;459;404;416;416;416;425;448;453;455;456;468;471;476;525	0	233.65	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	35.2	32	26.3	33.2	33.2	33.2	2520800	465820	414420	408650	434010	405500	392430	90029	16636	14801	14594	15500	14482	14015	130			+	6	606;1128;2088;3137;3742;4022;4110;4209;4435;5319;5369;5602;5607;5979;6088;6089;7081;7407;7685	True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True	640;1206;2225;3352;3997;4291;4385;4486;4726;5716;5769;6008;6013;6404;6523;6524;7568;7920;7921;8213	3162;3163;3164;3165;3166;3167;6094;6095;6096;6097;6098;11264;11265;11266;11267;11268;11269;11270;11271;11272;11273;11274;16892;16893;16894;16895;16896;20190;20191;20192;20193;20194;20195;21913;21914;21915;21916;21917;22394;22395;22396;22397;22398;22399;22919;22920;22921;22922;22923;24095;24096;24097;24098;24099;28914;28915;28916;28917;28918;28919;29196;29197;29198;29199;29200;30356;30357;30358;30359;30360;30361;30387;30388;30389;32396;32397;32398;32399;32400;32401;32967;32968;32969;32970;32971;32972;32973;32974;32975;32976;32977;32978;32979;32980;32981;32982;38328;38329;38330;38331;38332;38333;40129;40130;40131;40132;40133;40134;40135;40136;40137;40138;41616	3356;3357;3358;3359;3360;3361;3362;3363;3364;3365;3366;6741;6742;6743;6744;6745;6746;6747;6748;6749;6750;12468;12469;12470;12471;12472;12473;12474;12475;12476;18948;18949;18950;18951;18952;18953;22590;22591;22592;22593;22594;22595;24377;24378;24379;24929;24930;24931;24932;24933;24934;24935;24936;24937;24938;25516;25517;25518;25519;25520;26862;26863;32107;32108;32109;32110;32111;32112;32113;32389;32390;33503;33504;33505;33506;33507;33508;33542;35507;35508;35509;35510;35511;35512;36102;36103;36104;36105;36106;36107;36108;36109;36110;36111;36112;36113;36114;36115;36116;36117;36118;36119;36120;36121;36122;36123;36124;36125;36126;36127;36128;36129;36130;36131;36132;36133;36134;36135;42178;42179;42180;42181;42182;42183;42184;42185;42186;42187;42188;44268;44269;44270;44271;44272;44273;44274;44275;44276;44277;44278;44279;44280;44281;44282;45833	3361;6748;12470;18948;22590;24377;24936;25516;26863;32111;32390;33503;33542;35511;36102;36130;42188;44273;45833	0	150
CON__P13647	CON__P13647	12	1	1	>P13647 SWISS-PROT:P13647 Tax_Id=9606 Gene_Symbol=KRT5 Keratin, type II cytoskeletal 5	1	12	1	1	6	7	7	6	11	10	0	0	0	1	1	1	0	0	0	1	1	1	15.6	1.7	1.7	62.378	590	590	0.0058013	2.0638	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	6.6	9.8	8.1	8.1	15.6	14.1	47060	0	0	0	16185	14644	16231	1344.6	0	0	0	462.44	418.4	463.73	4			+	7	1589;2351;2378;2525;3314;4055;5220;5221;5229;5278;7677;7682	False;False;False;False;False;True;False;False;False;False;False;False	1701;2514;2542;2697;3539;4327;5609;5610;5618;5670;8205;8210	8691;8692;8693;8694;12685;12686;12833;12834;12835;12836;12837;12838;13586;13587;17832;17833;22109;22110;22111;28355;28356;28357;28358;28359;28360;28361;28362;28394;28395;28396;28397;28398;28399;28640;28641;28642;28643;28644;41575;41576;41577;41578;41579;41580;41581;41582;41583;41603;41604;41605	9694;9695;14039;14040;14219;14220;14221;14222;14223;14224;14225;14226;14227;15096;15097;19944;19945;24619;24620;24621;24622;31459;31460;31461;31462;31463;31464;31465;31466;31467;31468;31469;31512;31513;31514;31515;31516;31517;31790;31791;45771;45772;45773;45774;45775;45776;45810;45811;45812	9695;14039;14225;15096;19945;24622;31459;31464;31516;31790;45772;45812		
CON__P15636	CON__P15636	3	3	3	>P15636 SWISS-PROT:P15636 Protease I precursor Lysyl endopeptidase Achromobacter lyticus.	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	8.7	8.7	8.7	68.124	653	653	0	54.909	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	8.7	8.7	8.7	8.7	8.7	8.7	526620	129970	82818	81256	74888	77944	79748	19505	4813.7	3067.3	3009.5	2773.6	2886.8	2953.6	23			+	8	788;1509;6950	True;True;True	844;845;1617;7429	4173;4174;4175;4176;4177;4178;4179;4180;4181;4182;8213;8214;8215;8216;8217;8218;8219;8220;8221;8222;37563;37564;37565;37566;37567;37568;37569;37570;37571	4485;4486;4487;4488;4489;4490;9108;9109;9110;9111;9112;9113;9114;9115;9116;9117;41291;41292;41293;41294;41295;41296;41297;41298;41299;41300	4489;9113;41299	6	301
CON__P35527;CON__Q99456	CON__P35527	21;1	21;1	20;0	>P35527 SWISS-PROT:P35527 Tax_Id=9606 Gene_Symbol=KRT9 Keratin, type I cytoskeletal 9	2	21	21	20	18	18	19	18	18	19	18	18	19	18	18	19	17	17	18	17	17	18	46.1	46.1	44.9	62.129	623	623;494	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	40.4	41.7	43.3	38.8	39.8	43.3	5852400	1060200	1146400	1047700	848370	854850	894820	195080	35340	38212	34925	28279	28495	29827	178			+	9	1335;1502;1971;2428;2619;2898;2914;3329;3614;4110;5073;5385;5544;5559;5621;5793;5882;6150;6470;6476;7280	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1426;1610;2101;2596;2796;3088;3107;3554;3856;3857;4385;5450;5451;5785;5949;5964;6027;6028;6209;6303;6588;6589;6928;6934;7787	7202;7203;7204;7205;7206;7207;7208;7209;7210;7211;7212;7213;7214;7215;8182;8183;8184;8185;8186;10670;10671;10672;10673;10674;10675;13079;13080;13081;13082;13083;13084;14079;14080;14081;14082;14083;14084;15527;15528;15529;15530;15531;15532;15626;15627;15628;15629;15630;15631;17891;17892;17893;17894;17895;19496;19497;19498;19499;19500;19501;19502;19503;19504;19505;19506;22394;22395;22396;22397;22398;22399;27567;27568;27569;27570;27571;27572;27573;27574;29275;29276;29277;29278;29279;29280;29281;30107;30108;30109;30110;30111;30154;30452;30453;30454;30455;30456;30457;31423;31424;31425;31895;31896;31897;31898;31899;31900;31901;33294;33295;33296;33297;33298;33299;33300;33301;33302;33303;33304;33305;33306;35045;35046;35047;35048;35049;35050;35081;35082;39444;39445;39446;39447;39448;39449;39450;39451;39452;39453;39454	7954;7955;7956;7957;7958;7959;7960;7961;7962;7963;7964;7965;7966;7967;7968;7969;7970;7971;9072;9073;9074;9075;9076;11781;11782;11783;11784;11785;11786;11787;11788;11789;11790;11791;14499;14500;14501;14502;14503;15709;15710;15711;15712;15713;15714;15715;15716;17328;17329;17330;17331;17332;17333;17334;17467;17468;17469;17470;17471;17472;17473;17474;20008;20009;20010;20011;20012;21800;21801;21802;21803;21804;21805;21806;21807;21808;21809;21810;24929;24930;24931;24932;24933;24934;24935;24936;24937;24938;30645;30646;30647;30648;30649;30650;30651;30652;30653;30654;30655;32486;32487;32488;32489;32490;32491;32492;33273;33274;33275;33276;33277;33323;33591;33592;33593;33594;33595;34433;34434;34975;34976;34977;34978;34979;34980;34981;34982;34983;34984;34985;36523;36524;36525;36526;36527;36528;36529;36530;36531;36532;36533;36534;36535;36536;36537;36538;36539;36540;36541;36542;36543;36544;36545;36546;38511;38512;38513;38514;38515;38516;38517;38518;38519;38520;38521;38522;38569;38570;43498;43499;43500;43501;43502;43503;43504;43505;43506;43507;43508;43509;43510;43511	7961;9074;11784;14501;15713;17330;17467;20008;21801;24936;30650;32486;33273;33323;33592;34433;34981;36537;38512;38569;43498	7;8;9;10	157;234;245;269
